Country,Year,GDP_Value,Data_Type,Lower_Estimate,Upper_Estimate,Previous_Year_GDP,Annual_Growth_Percent
China,1975,160340.0,Historical,,,,
China,1976,150854.0,Historical,,,160340.0,-5.92
China,1977,171467.0,Historical,,,150854.0,13.66
China,1978,214160.0,Historical,,,171467.0,24.9
China,1979,263190.0,Historical,,,214160.0,22.89
China,1980,303550.0,Historical,,,263190.0,15.33
China,1981,289215.0,Historical,,,303550.0,-4.72
China,1982,285139.0,Historical,,,289215.0,-1.41
China,1983,306013.0,Historical,,,285139.0,7.32
China,1984,314832.0,Historical,,,306013.0,2.88
China,1985,310709.0,Historical,,,314832.0,-1.31
China,1986,301471.0,Historical,,,310709.0,-2.97
China,1987,328305.0,Historical,,,301471.0,8.9
China,1988,409363.0,Historical,,,328305.0,24.69
China,1989,458985.0,Historical,,,409363.0,12.12
China,1990,397359.0,Historical,,,458985.0,-13.43
China,1991,415946.0,Historical,,,397359.0,4.68
China,1992,495515.0,Historical,,,415946.0,19.13
China,1993,621918.0,Historical,,,495515.0,25.51
China,1994,566297.0,Historical,,,621918.0,-8.94
China,1995,737654.0,Historical,,,566297.0,30.26
China,1996,868770.0,Historical,,,737654.0,17.77
China,1997,967886.0,Historical,,,868770.0,11.41
China,1998,1035510.0,Historical,,,967886.0,6.99
China,1999,1101134.0,Historical,,,1035510.0,6.34
China,2000,1220337.0,Historical,,,1101134.0,10.83
China,2001,1351372.0,Historical,,,1220337.0,10.74
China,2002,1486618.0,Historical,,,1351372.0,10.01
China,2003,1680942.0,Historical,,,1486618.0,13.07
China,2004,1978937.0,Historical,,,1680942.0,17.73
China,2005,2325515.0,Historical,,,1978937.0,17.51
China,2006,2797286.0,Historical,,,2325515.0,20.29
China,2007,3612210.0,Historical,,,2797286.0,29.13
China,2008,4653314.0,Historical,,,3612210.0,28.82
China,2009,5176180.0,Historical,,,4653314.0,11.24
China,2010,6138992.0,Historical,,,5176180.0,18.6
China,2011,7624861.0,Historical,,,6138992.0,24.2
China,2012,8682939.0,Historical,,,7624861.0,13.88
China,2013,9782784.0,Historical,,,8682939.0,12.67
China,2014,10701415.0,Historical,,,9782784.0,9.39
China,2015,11307226.0,Historical,,,10701415.0,5.66
China,2016,11448003.0,Historical,,,11307226.0,1.25
China,2017,12503299.0,Historical,,,11448003.0,9.22
China,2018,14110963.0,Historical,,,12503299.0,12.86
China,2019,14572410.0,Historical,,,14110963.0,3.27
China,2020,15103357.0,Historical,,,14572410.0,3.64
China,2021,18190803.0,Historical,,,15103357.0,20.44
China,2022,18307816.0,Historical,,,18190803.0,0.64
China,2023,18270351.0,Historical,,,18307816.0,-0.2
China,2024,18748009.0,Historical,,,18270351.0,2.61
China,2025,19231705.0,Historical,,,18748009.0,2.58
China,2026,14630414.08,Forecast,8829505.0,19961680.47,19231705.0,-23.93
China,2027,15003043.01,Forecast,9120000.03,20789712.69,14630414.08,2.55
China,2028,15375671.94,Forecast,9331992.35,21500760.1,15003043.01,2.48
China,2029,15749321.77,Forecast,9798489.89,21630012.08,15375671.94,2.43
China,2030,16121950.7,Forecast,9991450.33,22003537.12,15749321.77,2.37
Germany,1975,474785.0,Historical,,,,
Germany,1976,502961.0,Historical,,,474785.0,5.93
Germany,1977,581104.0,Historical,,,502961.0,15.54
Germany,1978,716567.0,Historical,,,581104.0,23.31
Germany,1979,852855.0,Historical,,,716567.0,19.02
Germany,1980,856833.0,Historical,,,852855.0,0.47
Germany,1981,720895.0,Historical,,,856833.0,-15.87
Germany,1982,696088.0,Historical,,,720895.0,-3.44
Germany,1983,694447.0,Historical,,,696088.0,-0.24
Germany,1984,654289.0,Historical,,,694447.0,-5.78
Germany,1985,663459.0,Historical,,,654289.0,1.4
Germany,1986,947583.0,Historical,,,663459.0,42.82
Germany,1987,1179165.0,Historical,,,947583.0,24.44
Germany,1988,1271263.0,Historical,,,1179165.0,7.81
Germany,1989,1262000.0,Historical,,,1271263.0,-0.73
Germany,1990,1604497.0,Historical,,,1262000.0,27.14
Germany,1991,1882489.0,Historical,,,1604497.0,17.33
Germany,1992,2146140.0,Historical,,,1882489.0,14.01
Germany,1993,2080092.0,Historical,,,2146140.0,-3.08
Germany,1994,2220165.0,Historical,,,2080092.0,6.73
Germany,1995,2595269.0,Historical,,,2220165.0,16.9
Germany,1996,2507448.0,Historical,,,2595269.0,-3.38
Germany,1997,2221504.0,Historical,,,2507448.0,-11.4
Germany,1998,2250847.0,Historical,,,2221504.0,1.32
Germany,1999,2216072.0,Historical,,,2250847.0,-1.54
Germany,2000,1967850.0,Historical,,,2216072.0,-11.2
Germany,2001,1966395.0,Historical,,,1967850.0,-0.07
Germany,2002,2100865.0,Historical,,,1966395.0,6.84
Germany,2003,2534081.0,Historical,,,2100865.0,20.62
Germany,2004,2851023.0,Historical,,,2534081.0,12.51
Germany,2005,2894992.0,Historical,,,2851023.0,1.54
Germany,2006,3046470.0,Historical,,,2894992.0,5.23
Germany,2007,3484467.0,Historical,,,3046470.0,14.38
Germany,2008,3808369.0,Historical,,,3484467.0,9.3
Germany,2009,3476022.0,Historical,,,3808369.0,-8.73
Germany,2010,3470987.0,Historical,,,3476022.0,-0.14
Germany,2011,3824155.0,Historical,,,3470987.0,10.17
Germany,2012,3600175.0,Historical,,,3824155.0,-5.86
Germany,2013,3808142.0,Historical,,,3600175.0,5.78
Germany,2014,3966823.0,Historical,,,3808142.0,4.17
Germany,2015,3423915.0,Historical,,,3966823.0,-13.69
Germany,2016,3536808.0,Historical,,,3423915.0,3.3
Germany,2017,3761764.0,Historical,,,3536808.0,6.36
Germany,2018,4053846.0,Historical,,,3761764.0,7.76
Germany,2019,3957645.0,Historical,,,4053846.0,-2.37
Germany,2020,3936989.0,Historical,,,3957645.0,-0.52
Germany,2021,4351188.0,Historical,,,3936989.0,10.52
Germany,2022,4166872.0,Historical,,,4351188.0,-4.24
Germany,2023,4527009.0,Historical,,,4166872.0,8.64
Germany,2024,4658526.0,Historical,,,4527009.0,2.91
Germany,2025,4744804.0,Historical,,,4658526.0,1.85
Germany,2026,4739752.1,Forecast,4199707.73,5286599.38,4744804.0,-0.11
Germany,2027,4827178.5,Forecast,4282132.85,5384031.62,4739752.1,1.84
Germany,2028,4914604.9,Forecast,4373295.37,5457345.95,4827178.5,1.81
Germany,2029,5002270.83,Forecast,4477015.68,5560125.44,4914604.9,1.78
Germany,2030,5089697.23,Forecast,4547685.3,5632481.98,5002270.83,1.75
India,1975,100437.0,Historical,,,,
India,1976,101196.0,Historical,,,100437.0,0.76
India,1977,117421.0,Historical,,,101196.0,16.03
India,1978,135833.0,Historical,,,117421.0,15.68
India,1979,150317.0,Historical,,,135833.0,10.66
India,1980,186170.0,Historical,,,150317.0,23.85
India,1981,193153.0,Historical,,,186170.0,3.75
India,1982,200035.0,Historical,,,193153.0,3.56
India,1983,218218.0,Historical,,,200035.0,9.09
India,1984,211843.0,Historical,,,218218.0,-2.92
India,1985,233520.0,Historical,,,211843.0,10.23
India,1986,248398.0,Historical,,,233520.0,6.37
India,1987,278864.0,Historical,,,248398.0,12.26
India,1988,294479.0,Historical,,,278864.0,5.6
India,1989,296043.0,Historical,,,294479.0,0.53
India,1990,320979.0,Historical,,,296043.0,8.42
India,1991,270105.0,Historical,,,320979.0,-15.85
India,1992,288210.0,Historical,,,270105.0,6.7
India,1993,279295.0,Historical,,,288210.0,-3.09
India,1994,327275.0,Historical,,,279295.0,17.18
India,1995,360281.0,Historical,,,327275.0,10.09
India,1996,392902.0,Historical,,,360281.0,9.05
India,1997,415895.0,Historical,,,392902.0,5.85
India,1998,421378.0,Historical,,,415895.0,1.32
India,1999,458821.0,Historical,,,421378.0,8.89
India,2000,468396.0,Historical,,,458821.0,2.09
India,2001,485440.0,Historical,,,468396.0,3.64
India,2002,514938.0,Historical,,,485440.0,6.08
India,2003,607701.0,Historical,,,514938.0,18.01
India,2004,709152.0,Historical,,,607701.0,16.69
India,2005,820385.0,Historical,,,709152.0,15.69
India,2006,940260.0,Historical,,,820385.0,14.61
India,2007,1216736.0,Historical,,,940260.0,29.4
India,2008,1198895.0,Historical,,,1216736.0,-1.47
India,2009,1341889.0,Historical,,,1198895.0,11.93
India,2010,1675615.0,Historical,,,1341889.0,24.87
India,2011,1823052.0,Historical,,,1675615.0,8.8
India,2012,1827637.0,Historical,,,1823052.0,0.25
India,2013,1856721.0,Historical,,,1827637.0,1.59
India,2014,2039127.0,Historical,,,1856721.0,9.82
India,2015,2103588.0,Historical,,,2039127.0,3.16
India,2016,2294797.0,Historical,,,2103588.0,9.09
India,2017,2651474.0,Historical,,,2294797.0,15.54
India,2018,2702930.0,Historical,,,2651474.0,1.94
India,2019,2835606.0,Historical,,,2702930.0,4.91
